,name,area,aspect,centre,circularness,fill,number of children,rgb_area,rgb_aspect,rgb_centre,rgb_circularness,rgb_fill,rgb_average,median_height,mean_height
2,tape,,0.9814814815,,0.9429258357,0.8191823899,0,2344.5,0.9814814815,"(37.821556091308594, 135.45053100585938)",0.9429258357,0.8191823899,"[139.05693069306932, 125.98886138613861, 138.69719471947195]",0,0
3,banana,838,0.3286606417,"(97.5, 89.5447769165039)",0.2357416199,0.5553346587,1,1925.5,0.5009258149,"(106.73762512207031, 88.68811798095703)",0.3896104435,0.6195302445,"[207.73333333333332, 129.87456790123457, 195.85679012345679]",0.0796786919,0.0826992691
4,ball,517.5,0.9615384615,"(136.9585418701172, 33.73170852661133)",0.8655388449,0.7961538462,1,891.5,0.9411764706,"(135.87306213378906, 33.21502685546875)",0.8625909469,0.8193933824,"[185.27098831030818, 121.78958554729012, 195.36981934112646]",0.1612990499,0.1625639796
0,mug,1169.5,0.8598497591,"(110.5, 67.5)",0.5999362421,0.7423040305,1,1447,0.8463143847,"(110.5, 68.5)",0.6056424957,0.6613345521,"[196.42257217847768, 192.58202099737534, 199.000656167979]",0.0974379703,0.1217587888
1,ball,489.5,0.9586268916,"(54.78125, 163.390625)",0.861959697,0.8803956835,1,836,0.96875,"(56.26384353637695, 162.28501892089844)",0.8771718663,0.8427419355,"[175.64446952595938, 105.33747178329571, 181.58126410835214]",0.1623387337,0.1562440246
2,tape,1898,0.9803087265,"(131.05172729492188, 155.63792419433594)",0.9076039013,0.8308163712,1,2614.5,0.8852459016,"(134.5, 155.0)",0.810929143,0.793715847,"[153.02997779422651, 145.60917838638045, 153.03219837157661]",0.24046278,0.2207363844
3,banana,1054,0.4323754496,"(57.5, 57.5)",0.2473253514,0.4481292517,1,1933,0.5178937694,"(58.73893737792969, 58.26106262207031)",0.3847064117,0.5717243419,"[203.77312992125985, 123.70324803149606, 192.67667322834646]",0.0799874738,0.0858830586
4,torch,276.5,0.1623447053,"(107.5, 118.0)",0.1810013229,0.8640625,0,1580.5,0.2316917752,"(82.0, 113.5)",0.1287903177,0.4318306011,"[176.29538820782253, 173.47110332749563, 178.92119089316986]",0.0278928541,0.0788526759
0,mug,1127,0.9302546131,"(36.29735565185547, 162.9801788330078)",0.6502914331,0.7048155097,1,1347,0.7307692308,"(37.925743103027344, 163.92904663085938)",0.6156459867,0.6816801619,"[185.77653631284917, 174.44203910614524, 186.56703910614524]",0.1239293665,0.1442778111
1,ball,479,0.9586268916,"(88.70863342285156, 67.10911560058594)",0.856396688,0.8615107914,1,844,0.96875,"(88.84868621826172, 66.1776351928711)",0.9015060497,0.8508064516,"[184.77491601343786, 121.62597984322508, 193.12541993281076]",0.1477727145,0.157185629
2,tape,1901,0.9775905161,"(109.5, 157.47674560546875)",0.9148065072,0.805167302,1,2332,1,"(109.5, 155.5)",0.9272873052,0.8301886792,"[152.33540630182421, 144.31799336650082, 152.38391376451077]",0.2282116264,0.2066941112
3,banana,926.5,0.370547837,"(51.5, 79.5)",0.2350836528,0.4983862292,1,1922.5,0.5006110729,"(59.0, 82.5)",0.391458623,0.6262214984,"[204.09450766947057, 123.21919841662543, 192.74220682830281]",0.085154146,0.0904281735
4,torch,438,0.138729138,"(135.0, 44.5)",0.1450391021,0.8217636023,0,1769,0.523089304,"(111.47687530517578, 64.61560821533203)",0.2170321683,0.3212275286,"[189.4981530343008, 190.3419525065963, 193.15831134564644]",0.0457093418,0.0834417641
0,book,605.5,0.5172768338,"(67.0, 80.5)",0.2467011467,0.4286725664,0,5822.5,0.6849915935,"(51.0, 77.5)",0.6060174196,0.9531019807,"[61.1099564197117, 56.434126718069059, 63.287629902782434]",0.0710298344,0.0795170292
1,tape,1928,0.9802645633,"(106.0, 170.0394744873047)",0.9373159001,0.7924373202,1,2349,0.9814814815,"(106.36298370361328, 167.90444946289062)",0.9436418575,0.820754717,"[153.91848497324003, 147.13544668587897, 153.5689584191025]",0.2439435124,0.2146831453
2,eraser,1338.5,0.4711274219,"(129.0, 58.0)",0.4919802836,0.9745176556,1,4471,0.5400010813,"(132.5, 68.0)",0.5357770998,0.9274009542,"[149.05840208423794, 149.27160225792446, 149.69018671298306]",0.0657006502,0.0690171421
0,book,1496,0.9802058598,"(47.5, 140.0)",0.5763247504,0.7570850202,0,5796,0.6568673178,"(58.5, 136.0)",0.5554889727,0.9067584481,"[63.624411566913246, 59.05127774041695, 65.437794216543381]",0.0602222681,0.0684542134
1,tape,1915,1,"(55.84276580810547, 47.87421417236328)",0.9291478938,0.7975843399,1,2483,0.9298245614,"(56.5, 47.5)",0.8835753681,0.8219132738,"[152.41777084957133, 145.49025720966486, 153.95674201091194]",0.2463887185,0.212141335
2,eraser,1319,0.4808470368,"(147.5, 71.0)",0.4802378426,0.9445041174,2,4372,0.520629703,"(145.9549560546875, 61.48198318481445)",0.531720013,0.9459108611,"[147.94899090707474, 147.25304945664226, 148.7034819250388]",0.1001110673,0.1118671671
0,mug,1141,0.8734892246,"(35.5, 110.0)",0.6205700421,0.7216951297,1,1506,0.7964154185,"(37.79570007324219, 114.38710021972656)",0.5531634756,0.6878282713,"[188.85273757079923, 175.6897419760856, 189.30899937067338]",0.0991830528,0.1225853637
1,book,492,0.4770441447,"(122.0, 133.0)",0.2771808309,0.4513761468,0,5762,0.6810292982,"(123.05796813964844, 122.96006774902344)",0.614230312,0.9522392993,"[57.189212039228948, 51.582177882989519, 58.394825836996958]",0.0666859299,0.0748550296
2,eraser,1330.5,0.5292711755,"(85.5, 42.0)",0.5318786224,0.9032586558,0,4338,0.5322394589,"(76.0, 44.0)",0.5356178661,0.9517332163,"[144.2666517657577, 142.69266875279391, 144.30666070630309]",0.1419905722,0.1353936642
0,mug,1154,0.8373326075,"(45.6737174987793, 41.93202590942383)",0.6110795634,0.7049480757,1,1592.5,0.6329451119,"(47.0, 47.0)",0.5167230369,0.6494698206,"[190.80429594272076, 184.34486873508354, 193.56443914081146]",0.1169202849,0.1347148269
1,book,269.5,0.4712334431,"(60.5, 147.5)",0.4599638692,0.8343653251,0,5761,0.686307292,"(62.94810485839844, 142.54612731933594)",0.6245290534,0.9408786543,"[55.651320243737302, 48.539607312119159, 57.374915368991196]",0.1073531359,0.1017916873
2,eraser,1440.5,0.5,"(134.5, 94.0)",0.5405508871,0.931759379,1,4539,0.5326981444,"(126.0, 87.5)",0.5545736507,0.9398488456,"[144.73457984096282, 144.32000859660434, 145.23769611003652]",0.104154475,0.111784704
0,book,353.5,0.4245443174,"(136.5, 96.0)",0.4073165991,0.7890625,0,5817.5,0.670212766,"(132.0, 65.0)",0.6139791256,0.9823539345,"[63.648073701842549, 61.133835845896151, 66.19095477386935]",0.1077425629,0.0954212919
1,banana,978.5,0.4692853147,"(51.5, 49.5)",0.2398648428,0.4111344538,1,1791.5,0.5087923955,"(53.5, 46.0)",0.3597220324,0.5527614934,"[210.59788359788359, 133.78888888888889, 199.48412698412699]",0.0727857798,0.0783881173
2,eraser,1294.5,0.4729986187,"(50.5, 145.0)",0.469705776,0.9309600863,1,4344.5,0.5209741468,"(63.29050064086914, 145.51290893554688)",0.5396585854,0.9506564551,"[145.58268243695605, 142.49274715465299, 145.85583575094844]",0.0770554394,0.0909272656
1,book_part,,0.4126893505,,0.4280415421,0.8181818182,0,432,0.4126893505,"(132.5, 109.0)",0.4280415421,0.8181818182,"[45.249471458773783, 57.147991543340382, 48.775898520084567]",0,0
2,banana,987,0.4095905668,"(58.0, 131.0)",0.2466013224,0.4713467049,1,1771.5,0.4947063374,"(60.85678482055664, 128.0879364013672)",0.3498867725,0.5695225848,"[198.79208979155533, 117.69695350080171, 185.72047033671834]",0.0702147409,0.0783674866
3,eraser,1244.5,0.4631731118,"(62.45209884643555, 50.30250549316406)",0.469404805,0.9093898429,1,4352,0.5208105885,"(61.5, 61.0)",0.5234876704,0.9405662416,"[141.01759465478841, 139.0327394209354, 141.85746102449889]",0.059567675,0.0675394237
0,box,2834.5,0.9731057186,"(47.5, 31.5)",0.6451517005,0.9838597709,2,3051.5,0.7801511496,"(45.92598342895508, 36.15056610107422)",0.5493965999,0.675484228,"[161.31717924821373, 97.861136999068037, 108.4175209692451]",0.325239718,0.2894490957
1,book,262,0.4230769231,"(56.5, 137.84616088867188)",0.4501226598,0.9160839161,0,5692.5,0.6631718721,"(61.0, 136.5)",0.6213364151,0.9473290065,"[53.695533116549718, 46.943693308232071, 55.14478863597467]",0.1082963496,0.1020708457
2,eraser,1315,0.4643329576,"(141.5, 126.0)",0.43319516,0.8775442109,1,4378.5,0.5215154188,"(140.96646118164062, 116.98572540283203)",0.5341945962,0.9475221813,"[143.39924712134632, 141.88485385296724, 143.22077059344554]",0.1029749811,0.1100917235
0,box,2776.5,1,"(48.05036926269531, 149.533935546875)",0.6363929866,0.9797106563,2,3589,0.8516043946,"(53.486690521240234, 147.519287109375)",0.6140331555,0.8949008852,"[168.15769845498136, 90.534096963239207, 105.52264251465104]",0.3534146547,0.308754921
1,book,1076.5,0.9166666667,"(76.5, 44.5)",0.2526050671,0.3262121212,0,5756.5,0.6807800955,"(77.15985107421875, 42.22688674926758)",0.6324802216,0.9565470256,"[59.052987980362282, 55.390892161841883, 61.83223294396479]",0.0792134404,0.0779708475
2,eraser,1303.5,0.4524783731,"(133.0, 145.5)",0.4735111528,0.8977272727,1,4407,0.5203579043,"(129.0, 134.5)",0.5331254092,0.9413649471,"[146.47257105089227, 144.24190350297422, 145.84600132187705]",0.0801795721,0.082144931
0,mug,1159.5,0.7991567255,"(147.0, 147.0)",0.6234413534,0.6889483066,1,1165,1,"(149.0, 148.0)",0.728541815,0.789295393,"[191.93306122448979, 186.56979591836733, 192.31102040816327]",0.1280187666,0.1543431729
1,book,428.5,0.9918090647,"(112.05123901367188, 52.64841079711914)",0.392552779,0.4274314214,0,5803.5,0.6916171421,"(109.0, 52.5)",0.6217264273,0.9513154659,"[58.7007556675063, 54.921578505457596, 61.327455919395469]",0.1004264951,0.1000240073
2,eraser,1292,0.4637894686,"(58.0, 132.0)",0.5009178291,0.9348769899,1,4366,0.5174184735,"(69.5, 133.0)",0.5365256809,0.9453285699,"[143.86894713460683, 140.9049311417148, 144.24455797423369]",0.0803190544,0.0828224868
0,mug,1144,0.8602325267,"(52.459537506103516, 49.13583755493164)",0.6056239527,0.6757235676,1,1433.5,0.8242028542,"(53.52374267578125, 48.410072326660156)",0.7095205589,0.7396800826,"[188.74266666666668, 181.79533333333333, 190.78066666666666]",0.1166415736,0.1384759545
1,book,293,0.4193548387,"(142.0, 109.5)",0.3741770058,0.7270471464,0,5815,0.6734164077,"(135.01861572265625, 109.81786346435547)",0.6222003614,0.9598877517,"[56.257415786827551, 51.472096530920062, 57.877660465895758]",0.1105845571,0.1013627723
2,eraser,1263,0.4905795813,"(53.0, 125.0)",0.5044197977,0.933481153,1,4211.5,0.5161290323,"(55.5, 134.0)",0.5199483712,0.9434363799,"[140.84613615455382, 135.89581416743331, 140.74333026678931]",0.0964926705,0.1086940989
0,book,1010,0.5218252834,"(44.0, 138.5)",0.3102446233,0.471411902,0,5670.5,0.6879341545,"(55.0, 142.5)",0.6163987135,0.9448471216,"[57.382752104449409, 52.567771860505069, 59.185706923209068]",0.0687638074,0.0783893988
1,eraser,1319,0.4610131847,"(140.6923065185547, 70.92308044433594)",0.5039582582,0.9540687161,1,4443,0.5279441865,"(142.10643005371094, 80.17945861816406)",0.5415140293,0.9348763809,"[141.97029919196331, 141.54422362961344, 142.39965057872897]",0.0839816853,0.0971748754
2,measure,671,0.8740492351,"(40.64814758300781, 28.5)",0.7316271017,0.8258461538,1,1644,0.4559669439,"(55.5, 42.5)",0.2906409155,0.544010589,"[160.36630247268545, 143.40138010350776, 141.36227717078782]",0.08998245,0.10132882
0,book,880,0.4723746097,"(76.41987609863281, 58.500770568847656)",0.3610475769,0.6315034087,0,5671,0.6847826087,"(75.0, 58.0)",0.6171379888,0.9784334023,"[62.871006526966681, 60.888010992785986, 65.669529371350052]",0.0957771093,0.0979451388
1,eraser,1231.5,0.4445252971,"(122.5, 157.0)",0.4551477224,0.9407944996,0,4222.5,0.5161290323,"(122.95454406738281, 145.5)",0.5166785639,0.9459005376,"[142.79087365283192, 139.84384315523963, 141.83077275854163]",0.1596015096,0.1592075974
2,measure,636,0.8950885051,"(35.29166793823242, 147.85000610351562)",0.8255408097,0.825974026,1,1690.5,0.452623911,"(57.0, 130.0)",0.2564826356,0.4656383418,"[161.63580591187954, 139.723368655884, 141.79085331846068]",0.1140352488,0.1159441099
